ISBN;Book-Title;Book-Author;Year-Of-Publication;Publisher;Image-URL-L
0142300454;Awakening (Sweep, 5);Cate Tiernan;2001;Penguin Putnam Books for Young Readers;http://images.amazon.com/images/P/0142300454.01.LZZZZZZZ.jpg
0142300462;Spellbound (Sweep, 6);Cate Tiernan;2001;Penguin Putnam Books for Young Readers;http://images.amazon.com/images/P/0142300462.01.LZZZZZZZ.jpg
0142300497;Island of the Aunts;Eva Ibbotson;2001;Puffin Books;http://images.amazon.com/images/P/0142300497.01.LZZZZZZZ.jpg
0142300519;What's Your Pop Culture Iq?: 20 Quizzes About Music, Movies, Tv, and More;Alloy Com;2001;Alloybooks;http://images.amazon.com/images/P/0142300519.01.LZZZZZZZ.jpg
0142300535;Evolution;Eleanor Fremont;2001;Puffin Books;http://images.amazon.com/images/P/0142300535.01.LZZZZZZZ.jpg
014230056X;The Calling (Sweep, 7);Cate Tiernan;2001;Puffin Books;http://images.amazon.com/images/P/014230056X.01.LZZZZZZZ.jpg
0142300578;Changeling (Sweep, 8);Cate Tiernan;2001;Puffin Books;http://images.amazon.com/images/P/0142300578.01.LZZZZZZZ.jpg
0142300586;Time Warp Trio Gift Set: Knights of the Kitchen Table/the Not-So-Jolly Rodger/the Good, the Bad, and the Goofy/Your Mother Was a Neanderthal (Time Warp Trip, 1-4);Jon Sczieska;2001;Puffin Books;http://images.amazon.com/images/P/0142300586.01.LZZZZZZZ.jpg
0142300608;Fire Bringer;David Clement-Davies;2002;Puffin Books;http://images.amazon.com/images/P/0142300608.01.LZZZZZZZ.jpg
0142300659;The Beast Under the Wizard's Bridge;Brad Strickland;2002;Puffin Books;http://images.amazon.com/images/P/0142300659.01.LZZZZZZZ.jpg
0142300667;Shakespeare's Scribe (Shakespeare Stealer);Gary Blackwood;2002;Puffin Books;http://images.amazon.com/images/P/0142300667.01.LZZZZZZZ.jpg
0142300675;Dreamland;Sarah Dessen;2002;Puffin Books;http://images.amazon.com/images/P/0142300675.01.LZZZZZZZ.jpg
0142300705;A Year Down Yonder;Richard Peck;2002;Puffin Books;http://images.amazon.com/images/P/0142300705.01.LZZZZZZZ.jpg
0142300837;Life Is Funny;E.R. Frank;2002;Puffin Books;http://images.amazon.com/images/P/0142300837.01.LZZZZZZZ.jpg
0142300853;The Ordinary Princess;M. M. Kaye;2002;Puffin Books;http://images.amazon.com/images/P/0142300853.01.LZZZZZZZ.jpg
0142300861;Reckoning (Sweep, 13);Cate Tiernan;2002;Puffin Books;http://images.amazon.com/images/P/0142300861.01.LZZZZZZZ.jpg
0142300896;Freddy and the Spaceship;Walter R. Brooks;2002;Puffin Books;http://images.amazon.com/images/P/0142300896.01.LZZZZZZZ.jpg
0142300934;When I Was Older;Garret Weyr;2002;Puffin Books;http://images.amazon.com/images/P/0142300934.01.LZZZZZZZ.jpg
0142300942;The Shadow Club;Neal Shusterman;2002;Penguin Putnam Books for Young Readers;http://images.amazon.com/images/P/0142300942.01.LZZZZZZZ.jpg
0142300950;Bonita (Spirit of the Cimarron);Kathleen Duey;2002;Puffin Books;http://images.amazon.com/images/P/0142300950.01.LZZZZZZZ.jpg
0142300969;Sierra (Spirit of the Cimarron);Kathleen Duey;2002;Puffin Books;http://images.amazon.com/images/P/0142300969.01.LZZZZZZZ.jpg
0142300977;Esperanza (Spirit of the West);Kathleen Duey;2002;Puffin Books;http://images.amazon.com/images/P/0142300977.01.LZZZZZZZ.jpg
0142300985;Shattered (Sevens, Week 1);Scott Wallens;2002;Puffin Books;http://images.amazon.com/images/P/0142300985.01.LZZZZZZZ.jpg
0142300993;Exposed (Sevens, Week 2);Scott Wallens;2002;Puffin Books;http://images.amazon.com/images/P/0142300993.01.LZZZZZZZ.jpg
0142301000;Pushed (Sevens, Week 3);Scott Wallens;2002;Puffin Books;http://images.amazon.com/images/P/0142301000.01.LZZZZZZZ.jpg
0142301019;Meltdown (Sevens, Week 4);Scott Wallens;2002;Puffin Books;http://images.amazon.com/images/P/0142301019.01.LZZZZZZZ.jpg
0142301027;Torn (Sevens, Week 5);Scott Wallens;2002;Puffin Books;http://images.amazon.com/images/P/0142301027.01.LZZZZZZZ.jpg
0142301035;Betrayal (Sevens, Week 6);Scott Wallens;2002;Puffin Books;http://images.amazon.com/images/P/0142301035.01.LZZZZZZZ.jpg
0142301043;Redemption (Sevens, Week 7);Scott Wallens;2002;Puffin Books;http://images.amazon.com/images/P/0142301043.01.LZZZZZZZ.jpg
0142301078;Strife (Sweep, 9);Cate Tiernan;2002;Puffin Books;http://images.amazon.com/images/P/0142301078.01.LZZZZZZZ.jpg
0142301086;Seeker (Sweep, 10);Cate Tiernan;2002;Puffin Books;http://images.amazon.com/images/P/0142301086.01.LZZZZZZZ.jpg
0142301094;Origins (Sweep, 11);Cate Tiernan;2002;Puffin Books;http://images.amazon.com/images/P/0142301094.01.LZZZZZZZ.jpg
0142301108;Eclipse (Sweep, 12);Cate Tiernan;2002;Penguin Putnam Books for Young Readers;http://images.amazon.com/images/P/0142301108.01.LZZZZZZZ.jpg
0142301159;Spirit: Stallion of the Cimarron;Kathleen Duey;2002;Penguin Putnam Books for Young Readers;http://images.amazon.com/images/P/0142301159.01.LZZZZZZZ.jpg
0142301167;A Friend in Rain;Cathy Hapka;2002;Penguin Putnam Books for Young Readers;http://images.amazon.com/images/P/0142301167.01.LZZZZZZZ.jpg
0142301191;Why Do Horses Neigh? (Puffin Easy-to-Read);Joan Holub;2003;Dial Books;http://images.amazon.com/images/P/0142301191.01.LZZZZZZZ.jpg
0142301280;Small Brown Dog's Bad Remembering Day (Reading Railroad);Mike Gibbie;2002;Puffin Books;http://images.amazon.com/images/P/0142301280.01.LZZZZZZZ.jpg
0142301345;Hamster Chase (Puffin Easy-to-Read);Anastasia Suen;2002;Penguin Putnam Books for Young Readers;http://images.amazon.com/images/P/0142301345.01.LZZZZZZZ.jpg
014230140X;Ask the Bones: Scary Stories from Around the World;Arielle North Olson;2002;Puffin Books;http://images.amazon.com/images/P/014230140X.01.LZZZZZZZ.jpg
0142301426;The Hollow Tree;Janet Louise Swoboda Lunn;2002;Puffin Books;http://images.amazon.com/images/P/0142301426.01.LZZZZZZZ.jpg
0142301469;Horror at the Haunted House;Peg Kehret;2002;Puffin Books;http://images.amazon.com/images/P/0142301469.01.LZZZZZZZ.jpg
0142301477;Counterfeit Son;Elaine Marie Alphin;2002;Puffin Books;http://images.amazon.com/images/P/0142301477.01.LZZZZZZZ.jpg
0142301485;Many Stones;Carolyn Coman;2002;Puffin Books;http://images.amazon.com/images/P/0142301485.01.LZZZZZZZ.jpg
0142301493;Leave Well Enough Alone;Rosemary Wells;2002;Puffin Books;http://images.amazon.com/images/P/0142301493.01.LZZZZZZZ.jpg
0142301515;Crown Duel (Smith, Sherwood. Crown and Court Duet, Bk. 1-2.);Sherwood Smith;2002;Puffin Books;http://images.amazon.com/images/P/0142301515.01.LZZZZZZZ.jpg
0142301574;2095/Your Mother Was a Neanderthal Flip Book: Your Mother Was a Neanderthal (Scieszka, Jon. Time Warp Trio.);Jon Scieszka;2002;Puffin Books;http://images.amazon.com/images/P/0142301574.01.LZZZZZZZ.jpg
0142301620;Freddy the Detective/Freddy Goes to Florida Flip Book;Walter R. Brooks;2002;Puffin Books;http://images.amazon.com/images/P/0142301620.01.LZZZZZZZ.jpg
0142301639;Secret of Platform 13/Island of the Aunts Flip Book;Eva Ibbotson;2002;Puffin Books;http://images.amazon.com/images/P/0142301639.01.LZZZZZZZ.jpg
0142301647;House With a Clock in Its Walls/Ghost in the Mirror Flip Book;John Bellairs;2002;Puffin Books;http://images.amazon.com/images/P/0142301647.01.LZZZZZZZ.jpg
0142301655;Someone Like You/Keeping the Moon Flip Book;Sarah Dessen;2002;Puffin Books;http://images.amazon.com/images/P/0142301655.01.LZZZZZZZ.jpg
014230168X;Ghosts I Have Been/Dreadful Future of Blossom Culp Flip Book;Richard Peck;2002;Puffin Books;http://images.amazon.com/images/P/014230168X.01.LZZZZZZZ.jpg
014230171X;Frankenstein/Dracula Flip Book;Mary Shelley;2002;Puffin Books;http://images.amazon.com/images/P/014230171X.01.LZZZZZZZ.jpg
0142301728;Alice in Wonderland/Black Beauty;Lewis Carroll;2002;Puffin Books;http://images.amazon.com/images/P/0142301728.01.LZZZZZZZ.jpg
0142301825;Full Circle (Sweep 14);Cate Tiernan;2002;Penguin Putnam Books for Young Readers;http://images.amazon.com/images/P/0142301825.01.LZZZZZZZ.jpg
0142301876;The Bookstore Valentine (Puffin Easy-to-Read);Barbara Maitland;2002;Puffin Books;http://images.amazon.com/images/P/0142301876.01.LZZZZZZZ.jpg
014230199X;Kwanzaa Kids (Lift the Flap Book (Puffin Books).);Joan Holub;2002;Puffin Books;http://images.amazon.com/images/P/014230199X.01.LZZZZZZZ.jpg
0142302015;Good Night, Good Knight (Puffin Easy-to-Read);Shelley Moore Thomas;2002;Puffin Books;http://images.amazon.com/images/P/0142302015.01.LZZZZZZZ.jpg
0142302066;Freddy Goes to the North Pole (Freddy Books (Paperback));Walter R. Brooks;2002;Puffin Books;http://images.amazon.com/images/P/0142302066.01.LZZZZZZZ.jpg
0142302082;Goose Chase;Patrice Kindl;2002;Puffin Books;http://images.amazon.com/images/P/0142302082.01.LZZZZZZZ.jpg
0142302163;The Ghost Sitter;Peni R. Griffin;2002;Puffin Books;http://images.amazon.com/images/P/0142302163.01.LZZZZZZZ.jpg
0142302171;Marco's Millions;William Sleator;2002;Puffin Books;http://images.amazon.com/images/P/0142302171.01.LZZZZZZZ.jpg
014230218X;The Dreaming Place;Charles De Lint;2002;Firebird Books;http://images.amazon.com/images/P/014230218X.01.LZZZZZZZ.jpg
0142302198;Growing Wings;Laurel Winter;2002;Puffin Books;http://images.amazon.com/images/P/0142302198.01.LZZZZZZZ.jpg
0142302236;The Riddle of the Wren;Charles de Lint;2002;Firebird Books;http://images.amazon.com/images/P/0142302236.01.LZZZZZZZ.jpg
0142302295;Superfudge (Puffin Book);Judy Blume;2003;Puffin Books;http://images.amazon.com/images/P/0142302295.01.LZZZZZZZ.jpg
0142302309;Fudge-A-Mania;Judy Blume;2003;Puffin Books;http://images.amazon.com/images/P/0142302309.01.LZZZZZZZ.jpg
0142302317;Tales of a Fourth Grade Nothing;Judy Blume;2003;Puffin Books;http://images.amazon.com/images/P/0142302317.01.LZZZZZZZ.jpg
0142302376;Redwall (Redwall, Book 1);Brian Jacques;2002;Penguin Putnam Books for Young Readers;http://images.amazon.com/images/P/0142302376.01.LZZZZZZZ.jpg
0142302384;Mossflower (Redwall, Book 2);Brian Jacques;2002;Puffin Books;http://images.amazon.com/images/P/0142302384.01.LZZZZZZZ.jpg
0142302457;The Enormous Crocodile;Roald Dahl;2003;Puffin Books;http://images.amazon.com/images/P/0142302457.01.LZZZZZZZ.jpg
0142302473;A Face First;Priscilla Cummings;2003;Puffin Books;http://images.amazon.com/images/P/0142302473.01.LZZZZZZZ.jpg
0142400017;Catalyst;Laurie Halse Anderson;2003;Speak;http://images.amazon.com/images/P/0142400017.01.LZZZZZZZ.jpg
0142400203;Lily Quench and the Dragon of Ashby (Lily Quench);Natalie Jane Prior;2004;Puffin Books;http://images.amazon.com/images/P/0142400203.01.LZZZZZZZ.jpg
0142400211;Lily Quench and the Black Mountains (Lily Quench);Natalie Jane Prior;2004;Puffin Books;http://images.amazon.com/images/P/0142400211.01.LZZZZZZZ.jpg
0142400297;THE GREEN MAN: Tales from the Mythic Forest;Ellen Datlow;2004;Firebird;http://images.amazon.com/images/P/0142400297.01.LZZZZZZZ.jpg
0142400440;2095 (Time Warp Trio);Jon Scieszka;2004;Puffin Books;http://images.amazon.com/images/P/0142400440.01.LZZZZZZZ.jpg
0142400505;Get Well, Good Knight (Puffin Easy-to-Read);Shelley Moore Thomas;2004;Puffin Books;http://images.amazon.com/images/P/0142400505.01.LZZZZZZZ.jpg
014240053X;Lionclaw: A Tale of Rowan Hood;Nancy Springer;2004;Puffin Books;http://images.amazon.com/images/P/014240053X.01.LZZZZZZZ.jpg
0142400580;The Great Brain (Great Brain);John D. Fitzgerald;2004;Puffin Books;http://images.amazon.com/images/P/0142400580.01.LZZZZZZZ.jpg
0142400602;The Harp of the Grey Rose: The Legend of Cerin Songweaver;Charles De Lint;2004;Puffin Books;http://images.amazon.com/images/P/0142400602.01.LZZZZZZZ.jpg
0142400637;Keeper of the Doves;Betsy Cromer Byars;2004;Puffin Books;http://images.amazon.com/images/P/0142400637.01.LZZZZZZZ.jpg
0142400645;Me and My Little Brain (Great Brain);John D. Fitzgerald;2004;Puffin Books;http://images.amazon.com/images/P/0142400645.01.LZZZZZZZ.jpg
0142400653;More Adventures of the Great Brain (Great Brain);John D. Fitzgerald;2004;Puffin Books;http://images.amazon.com/images/P/0142400653.01.LZZZZZZZ.jpg
014240067X;Primavera;Francesca Lia Block;2004;Puffin Books;http://images.amazon.com/images/P/014240067X.01.LZZZZZZZ.jpg
0142400769;Things Not Seen;Andrew Clements;2004;Puffin Books;http://images.amazon.com/images/P/0142400769.01.LZZZZZZZ.jpg
0142400777;Wolf Moon;Charles De Lint;2004;Puffin Books;http://images.amazon.com/images/P/0142400777.01.LZZZZZZZ.jpg
0142400866;Parasite Pig;William Sleator;2004;Firebird;http://images.amazon.com/images/P/0142400866.01.LZZZZZZZ.jpg
0142400998;Otherwise Known As Sheila the Great;Judy Blume;2003;Puffin Books;http://images.amazon.com/images/P/0142400998.01.LZZZZZZZ.jpg
0142401013;Tales of a Fourth Grade Nothing;Judy Blume;2003;Puffin Books;http://images.amazon.com/images/P/0142401013.01.LZZZZZZZ.jpg
0142401072;Time Cat: The Remarkable Journeys of Jason and Gareth (Puffin Modern Classics);Lloyd Alexander;2004;Puffin Books;http://images.amazon.com/images/P/0142401072.01.LZZZZZZZ.jpg
0142401110;My Side of the Mountain (Puffin Modern Classics);Jean Craighead George;2004;Puffin Books;http://images.amazon.com/images/P/0142401110.01.LZZZZZZZ.jpg
014240117X;See You Later, Gladiator (Time Warp Trio);Jon Scieszka;2004;Puffin Books;http://images.amazon.com/images/P/014240117X.01.LZZZZZZZ.jpg
0142401277;The Cannibals;Cynthia D. Grant;2004;Speak;http://images.amazon.com/images/P/0142401277.01.LZZZZZZZ.jpg
0142401455;Postcards from No Man's Land;Aidan Chambers;2004;Puffin Books;http://images.amazon.com/images/P/0142401455.01.LZZZZZZZ.jpg
014240148X;Stand Tall;Joan Bauer;2004;Puffin Books;http://images.amazon.com/images/P/014240148X.01.LZZZZZZZ.jpg
014240165X;STORMBREAKER (Alex Rider Adventure);Anthony Horowitz;2004;Speak;http://images.amazon.com/images/P/014240165X.01.LZZZZZZZ.jpg
0142401668;Stormbreaker;Anthony Horowitz;2004;Puffin Books;http://images.amazon.com/images/P/0142401668.01.LZZZZZZZ.jpg
0142401978;The Water Hole;Graeme Base;2004;Puffin Books;http://images.amazon.com/images/P/0142401978.01.LZZZZZZZ.jpg
014243700X;Wives and Daughters (Penguin Classics);Elizabeth Cleghorn Gaskell;2001;Penguin Books;http://images.amazon.com/images/P/014243700X.01.LZZZZZZZ.jpg
0142437018;A Little Princess (Penguin Classics);Frances Hodgson Burnett;2002;Penguin Books;http://images.amazon.com/images/P/0142437018.01.LZZZZZZZ.jpg
0142437026;At Fault (Penguin Classics);Kate Chopin;2002;Penguin Books;http://images.amazon.com/images/P/0142437026.01.LZZZZZZZ.jpg
0142437050;The Secret Garden (Penguin Classics);Frances Hodgson Burnett;2002;Penguin Books;http://images.amazon.com/images/P/0142437050.01.LZZZZZZZ.jpg
0142437093;American Indian Stories, Legends, and Other Writings (Penguin Classics);Zitkala-Sa;2003;Penguin Books;http://images.amazon.com/images/P/0142437093.01.LZZZZZZZ.jpg
014243714X;The Tale of Genji (Penguin Classics);Murasaki Shikibu;2002;Penguin Books;http://images.amazon.com/images/P/014243714X.01.LZZZZZZZ.jpg
0142437158;Letters to Father: Suor Maria Celeste to Galileo (1623-1633) (Penguin Classics);Maria Celeste Galilei;2003;Penguin Books;http://images.amazon.com/images/P/0142437158.01.LZZZZZZZ.jpg
0142437174;The Adventures of Huckleberry Finn (Penguin Classics);Mark Twain;2002;Penguin Books;http://images.amazon.com/images/P/0142437174.01.LZZZZZZZ.jpg
0142437182;Siddhartha: An Indian Tale (Penguin Classics);Hermann Hesse;2003;Penguin Books;http://images.amazon.com/images/P/0142437182.01.LZZZZZZZ.jpg
0142437190;In Patagonia (Penguin Classics);Bruce Chatwin;2003;Penguin Books;http://images.amazon.com/images/P/0142437190.01.LZZZZZZZ.jpg
